1900Hz signal frim microphgone
Computed magnitudes:
0.000000Hz 11518.3144
125.000000Hz 5005.7998
250.000000Hz 56.5558
375.000000Hz 22.8580
500.000000Hz 11.0462
625.000000Hz 6.6323
750.000000Hz 7.4884
875.000000Hz 8.8270
1000.000000Hz 4.4469
1125.000000Hz 8.2977
1250.000000Hz 2.1644
1375.000000Hz 5.2819
1500.000000Hz 5.7934
1625.000000Hz 1.1774
[14]1750.000000Hz 144.6338
[15]1875.000000Hz 482.4529
[16]2000.000000Hz 292.5368
2125.000000Hz 20.0106
2250.000000Hz 4.7236
2375.000000Hz 2.6513
2500.000000Hz 3.2311
2625.000000Hz 3.7101
2750.000000Hz 1.5707
2875.000000Hz 5.8426
3000.000000Hz 5.6107
3125.000000Hz 8.4287
3250.000000Hz 2.7070
3375.000000Hz 0.1829
3500.000000Hz 1.1250
3625.000000Hz 0.8124
3750.000000Hz 4.6586
3875.000000Hz 4.3172