5200Hz input
Computed magnitudes:
0.000000Hz 11521.0791
125.000000Hz 4996.3398
250.000000Hz 40.5348
375.000000Hz 24.2503
500.000000Hz 13.5909
625.000000Hz 9.2423
750.000000Hz 11.6725
875.000000Hz 5.1234
1000.000000Hz 3.8575
1125.000000Hz 8.8762
1250.000000Hz 4.5916
1375.000000Hz 2.9771
1500.000000Hz 3.3614
1625.000000Hz 5.0775
1750.000000Hz 7.5446
1875.000000Hz 10.7004
2000.000000Hz 3.0508
2125.000000Hz 15.1966
2250.000000Hz 20.0520
2375.000000Hz 4.6557
2500.000000Hz 0.7932
2625.000000Hz 65.2283
2750.000000Hz 350.0628
2875.000000Hz 303.6158
3000.000000Hz 33.0833
3125.000000Hz 10.1033
3250.000000Hz 12.1053
3375.000000Hz 2.7303
3500.000000Hz 5.7924
3625.000000Hz 0.9198
3750.000000Hz 7.3947
3875.000000Hz 5.9645

Computed magnitudes:
0.000000Hz 11510.5175
125.000000Hz 4996.8017
250.000000Hz 46.4700
375.000000Hz 21.1839
500.000000Hz 10.6926
625.000000Hz 6.4932
750.000000Hz 14.7705
875.000000Hz 5.6694
1000.000000Hz 3.0724
1125.000000Hz 5.0997
1250.000000Hz 4.9591
1375.000000Hz 2.6881
1500.000000Hz 4.2920
1625.000000Hz 4.4058
1750.000000Hz 8.2139
1875.000000Hz 7.8229
2000.000000Hz 5.6481
2125.000000Hz 10.6868
2250.000000Hz 12.0465
2375.000000Hz 4.4684
2500.000000Hz 6.4692
2625.000000Hz 69.0358
2750.000000Hz 346.7791
2875.000000Hz 303.4658
3000.000000Hz 36.5972
3125.000000Hz 4.1446
3250.000000Hz 9.3383
3375.000000Hz 5.0837
3500.000000Hz 8.1649
3625.000000Hz 10.2175
3750.000000Hz 7.3612
3875.000000Hz 7.6582

Computed magnitudes:
0.000000Hz 11519.0322
125.000000Hz 5008.8168
250.000000Hz 57.8269
375.000000Hz 21.4775
500.000000Hz 9.6805
625.000000Hz 9.9643
750.000000Hz 8.2961
875.000000Hz 11.5765
1000.000000Hz 3.9504
1125.000000Hz 6.7509
1250.000000Hz 5.9621
1375.000000Hz 4.7669
1500.000000Hz 2.0188
1625.000000Hz 2.9237
1750.000000Hz 6.7247
1875.000000Hz 1.1436
2000.000000Hz 3.4079
2125.000000Hz 7.9246
2250.000000Hz 16.2779
2375.000000Hz 2.7205
2500.000000Hz 2.9644
2625.000000Hz 67.7470
2750.000000Hz 353.1028
2875.000000Hz 306.5805
3000.000000Hz 34.6765
3125.000000Hz 5.9804
3250.000000Hz 6.7351
3375.000000Hz 5.3000
3500.000000Hz 1.3856
3625.000000Hz 2.9471
3750.000000Hz 7.3558
3875.000000Hz 2.5927

Computed magnitudes:
0.000000Hz 11523.2421
125.000000Hz 5015.0253
250.000000Hz 59.1390
375.000000Hz 19.5531
500.000000Hz 10.6075
625.000000Hz 6.2922
750.000000Hz 11.5074
875.000000Hz 4.4584
1000.000000Hz 3.0050
1125.000000Hz 1.0189
1250.000000Hz 5.4395
1375.000000Hz 1.3880
1500.000000Hz 1.6756
1625.000000Hz 3.4471
1750.000000Hz 4.9448
1875.000000Hz 3.0901
2000.000000Hz 3.9281
2125.000000Hz 11.6630
2250.000000Hz 14.5422
2375.000000Hz 4.1313
2500.000000Hz 3.2633
2625.000000Hz 70.2581
2750.000000Hz 352.1818
2875.000000Hz 304.2470
3000.000000Hz 33.8416
3125.000000Hz 7.8553
3250.000000Hz 9.2374
3375.000000Hz 6.5498
3500.000000Hz 4.7707
3625.000000Hz 2.8206
3750.000000Hz 8.3318
3875.000000Hz 0.6533

Computed magnitudes:
0.000000Hz 11512.0234
125.000000Hz 4999.5507
250.000000Hz 41.0105
375.000000Hz 19.2590
500.000000Hz 10.6158
625.000000Hz 3.7841
750.000000Hz 9.0033
875.000000Hz 6.9002
1000.000000Hz 2.0398
1125.000000Hz 6.6215
1250.000000Hz 4.4795
1375.000000Hz 4.6105
1500.000000Hz 1.9295
1625.000000Hz 0.9984
1750.000000Hz 11.4264
1875.000000Hz 4.4142
2000.000000Hz 6.6872
2125.000000Hz 10.9792
2250.000000Hz 19.4546
2375.000000Hz 5.1883
2500.000000Hz 7.4798
2625.000000Hz 58.7281
2750.000000Hz 346.8103
2875.000000Hz 298.0491
3000.000000Hz 37.6175
3125.000000Hz 5.4572
